workflow,accuracy,f1,test_rows,rmse,mae,r2
classification,0.9824561403508771,0.9861111111111112,114,,,
regression,,,89,54.028538104877185,43.81939331203024,0.4490375005647086
forecasting,,,83,6.118213585277987,5.0772674314646835,
