feature,importance
bmi,0.3734654866413605
s5,0.25847937817229444
bp,0.08479249112857198
s6,0.0627262624970049
s2,0.05066316314148929
s3,0.04834843525765558
s1,0.04661188231734008
age,0.04656561188369753
s4,0.018634366017681214
sex,0.009712922942904502
